calculation_id,created_at,status,reason_code,reason,raw_request,product_type,model,width_cm,height_cm,quantity,model_status,fabric,fabric_width_cm,fabric_price,fabric_price_type,fabric_layout,fabric_consumption_m,fabric_cost,recipe_id,operations,extras,operation_cost,known_components_total,retail_price,retail_price_status,explanation
a769d01f-28dc-44c4-a523-7e171c253ab6,2026-09-05T14:05:52.154490+00:00,success,,,"{""smoke_test"": true}",curtain,Иви,100.0,270.0,1,active,Иви,300,1420,RRC,standard,1.2,1704.0,CURTAIN_BASE,"Крепление портьеры: Шторная лента 6 см белая, без слоя [OP_001]: 1.0 × 120.0 = 120.0 ₽; Боковые швы: 2х2 [OP_044]: 5.4 × 50.0 = 270.0 ₽; Нижний шов: 10х10 [OP_060]: 1.0 × 70.0 = 70.0 ₽; Сборка шторной ленты: Стандарт [OP_043]: 1.0 × 35.0 = 35.0 ₽; Упаковка портьеры: Чехол ПВХ/спандбонд + картон [OP_061]: 1.0 × 130.0 = 130.0 ₽",,625.0,2329.0,2329.0,CALCULATED,Высота изделия с технологическим запасом 10 см помещается в ширину ткани; расход равен ширине изделия + 20 см на каждую штору.
c4c82d1f-1406-4309-a167-abaa3e30125e,2026-09-05T14:05:52.154989+00:00,success,,,"{""smoke_test"": true}",curtain,Каспиан,100.0,270.0,1,active,Каспиан/Довер,280,1470,RRC,standard,1.2,1764.0,CURTAIN_BASE,"Крепление портьеры: Шторная лента 6 см белая, без слоя [OP_001]: 1.0 × 120.0 = 120.0 ₽; Боковые швы: 2х2 [OP_044]: 5.4 × 50.0 = 270.0 ₽; Нижний шов: 10х10 [OP_060]: 1.0 × 70.0 = 70.0 ₽; Сборка шторной ленты: Стандарт [OP_043]: 1.0 × 35.0 = 35.0 ₽; Упаковка портьеры: Чехол ПВХ/спандбонд + картон [OP_061]: 1.0 × 130.0 = 130.0 ₽",,625.0,2389.0,2389.0,CALCULATED,Высота изделия с технологическим запасом 10 см помещается в ширину ткани; расход равен ширине изделия + 20 см на каждую штору.
66ec3445-bafc-496e-925c-07ea5fc56462,2026-09-05T14:05:52.155489+00:00,success,,,"{""smoke_test"": true}",curtain,Керти,100.0,270.0,1,active,Софт,280,990,RRC,standard,1.2,1188.0,CURTAIN_BASE,"Крепление портьеры: Шторная лента 6 см белая, без слоя [OP_001]: 1.0 × 120.0 = 120.0 ₽; Боковые швы: 2х2 [OP_044]: 5.4 × 50.0 = 270.0 ₽; Нижний шов: 10х10 [OP_060]: 1.0 × 70.0 = 70.0 ₽; Сборка шторной ленты: Стандарт [OP_043]: 1.0 × 35.0 = 35.0 ₽; Упаковка портьеры: Чехол ПВХ/спандбонд + картон [OP_061]: 1.0 × 130.0 = 130.0 ₽",,625.0,1813.0,1813.0,CALCULATED,Высота изделия с технологическим запасом 10 см помещается в ширину ткани; расход равен ширине изделия + 20 см на каждую штору.
f343ea0e-7d7d-425a-a166-800ed9335f0d,2026-09-05T14:05:52.155978+00:00,success,,,"{""smoke_test"": true}",curtain,Ким,100.0,270.0,1,active,Ким,300,2315,RRC,standard,1.2,2778.0,CURTAIN_BASE,"Крепление портьеры: Шторная лента 6 см белая, без слоя [OP_001]: 1.0 × 120.0 = 120.0 ₽; Боковые швы: 2х2 [OP_044]: 5.4 × 50.0 = 270.0 ₽; Нижний шов: 10х10 [OP_060]: 1.0 × 70.0 = 70.0 ₽; Сборка шторной ленты: Стандарт [OP_043]: 1.0 × 35.0 = 35.0 ₽; Упаковка портьеры: Чехол ПВХ/спандбонд + картон [OP_061]: 1.0 × 130.0 = 130.0 ₽",,625.0,3403.0,3403.0,CALCULATED,Высота изделия с технологическим запасом 10 см помещается в ширину ткани; расход равен ширине изделия + 20 см на каждую штору.
e72db97c-25b4-49cd-b445-01a93fcd55b1,2026-09-05T14:05:52.156467+00:00,success,,,"{""smoke_test"": true}",curtain,Кирстен,100.0,270.0,1,active,Ибица,300,2835,RRC,standard,1.2,3402.0,CURTAIN_BASE,"Крепление портьеры: Шторная лента 6 см белая, без слоя [OP_001]: 1.0 × 120.0 = 120.0 ₽; Боковые швы: 2х2 [OP_044]: 5.4 × 50.0 = 270.0 ₽; Нижний шов: 10х10 [OP_060]: 1.0 × 70.0 = 70.0 ₽; Сборка шторной ленты: Стандарт [OP_043]: 1.0 × 35.0 = 35.0 ₽; Упаковка портьеры: Чехол ПВХ/спандбонд + картон [OP_061]: 1.0 × 130.0 = 130.0 ₽",,625.0,4027.0,4027.0,CALCULATED,Высота изделия с технологическим запасом 10 см помещается в ширину ткани; расход равен ширине изделия + 20 см на каждую штору.
84826c3a-2969-415d-86cd-d0daee4bd137,2026-09-05T14:05:52.157005+00:00,success,,,"{""smoke_test"": true}",curtain,Конни,100.0,270.0,1,active,Конни,310,3385,RRC,standard,1.2,4062.0,CURTAIN_BASE,"Крепление портьеры: Шторная лента 6 см белая, без слоя [OP_001]: 1.0 × 120.0 = 120.0 ₽; Боковые швы: 2х2 [OP_044]: 5.4 × 50.0 = 270.0 ₽; Нижний шов: 10х10 [OP_060]: 1.0 × 70.0 = 70.0 ₽; Сборка шторной ленты: Стандарт [OP_043]: 1.0 × 35.0 = 35.0 ₽; Упаковка портьеры: Чехол ПВХ/спандбонд + картон [OP_061]: 1.0 × 130.0 = 130.0 ₽",,625.0,4687.0,4687.0,CALCULATED,Высота изделия с технологическим запасом 10 см помещается в ширину ткани; расход равен ширине изделия + 20 см на каждую штору.
f168b9a9-9bcc-43c1-899c-2cdf8d37b810,2026-09-05T14:05:52.157496+00:00,success,,,"{""smoke_test"": true}",curtain,Кристи,100.0,170.0,1,active,Кристи,180,1510,RRC,standard,1.2,1812.0,CURTAIN_BASE,"Крепление портьеры: Шторная лента 6 см белая, без слоя [OP_001]: 1.0 × 120.0 = 120.0 ₽; Боковые швы: 2х2 [OP_044]: 3.4 × 50.0 = 170.0 ₽; Нижний шов: 10х10 [OP_060]: 1.0 × 70.0 = 70.0 ₽; Сборка шторной ленты: Стандарт [OP_043]: 1.0 × 35.0 = 35.0 ₽; Упаковка портьеры: Чехол ПВХ/спандбонд + картон [OP_061]: 1.0 × 130.0 = 130.0 ₽",,525.0,2337.0,2337.0,CALCULATED,Высота изделия с технологическим запасом 10 см помещается в ширину ткани; расход равен ширине изделия + 20 см на каждую штору.
ee81dc91-958e-4549-8c7f-37c534fb10ae,2026-09-05T14:05:52.158023+00:00,success,,,"{""smoke_test"": true}",curtain,Кристи +,100.0,170.0,1,active,Кристи,180,1510,RRC,standard,1.2,1812.0,CURTAIN_BASE,"Крепление портьеры: Шторная лента 6 см белая, без слоя [OP_001]: 1.0 × 120.0 = 120.0 ₽; Боковые швы: 2х2 [OP_044]: 3.4 × 50.0 = 170.0 ₽; Нижний шов: 10х10 [OP_060]: 1.0 × 70.0 = 70.0 ₽; Сборка шторной ленты: Стандарт [OP_043]: 1.0 × 35.0 = 35.0 ₽; Упаковка портьеры: Чехол ПВХ/спандбонд + картон [OP_061]: 1.0 × 130.0 = 130.0 ₽",,525.0,2337.0,2337.0,CALCULATED,Высота изделия с технологическим запасом 10 см помещается в ширину ткани; расход равен ширине изделия + 20 см на каждую штору.
5d24d167-8076-498c-b7f9-fda8be79006d,2026-09-05T14:05:52.158535+00:00,success,,,"{""smoke_test"": true}",curtain,Лайм,100.0,270.0,1,active,Лайм,300,1510,RRC,standard,1.2,1812.0,CURTAIN_BASE,"Крепление портьеры: Шторная лента 6 см белая, без слоя [OP_001]: 1.0 × 120.0 = 120.0 ₽; Боковые швы: 2х2 [OP_044]: 5.4 × 50.0 = 270.0 ₽; Нижний шов: 10х10 [OP_060]: 1.0 × 70.0 = 70.0 ₽; Сборка шторной ленты: Стандарт [OP_043]: 1.0 × 35.0 = 35.0 ₽; Упаковка портьеры: Чехол ПВХ/спандбонд + картон [OP_061]: 1.0 × 130.0 = 130.0 ₽",,625.0,2437.0,2437.0,CALCULATED,Высота изделия с технологическим запасом 10 см помещается в ширину ткани; расход равен ширине изделия + 20 см на каждую штору.
15ee2122-875d-4adb-bfd0-5ae648bd7f04,2026-09-05T14:05:52.159082+00:00,success,,,"{""smoke_test"": true}",curtain,Латур,100.0,270.0,1,active,Софт,280,990,RRC,standard,1.2,1188.0,CURTAIN_BASE,"Крепление портьеры: Шторная лента 6 см белая, без слоя [OP_001]: 1.0 × 120.0 = 120.0 ₽; Боковые швы: 2х2 [OP_044]: 5.4 × 50.0 = 270.0 ₽; Нижний шов: 10х10 [OP_060]: 1.0 × 70.0 = 70.0 ₽; Сборка шторной ленты: Стандарт [OP_043]: 1.0 × 35.0 = 35.0 ₽; Упаковка портьеры: Чехол ПВХ/спандбонд + картон [OP_061]: 1.0 × 130.0 = 130.0 ₽",,625.0,1813.0,1813.0,CALCULATED,Высота изделия с технологическим запасом 10 см помещается в ширину ткани; расход равен ширине изделия + 20 см на каждую штору.
